App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
"Calm - Meditate, Sleep, Relax","I think complete waste money. If looking great meditation download. ( Insight Timer ) absolutely free Playstore, great community, get involved also choose much time free, moment time follow certain different types Meditation sessions. It's good, download, ( Insight Timer) best Playstore",Positive,0.401298701,0.524675325
"Fabulous: Motivate Me! Meditate, Relax, Sleep",I really like far! My wish could calendar option I pre-set/put times alarms suit shift work month account daily shift time changes. At moment I changing times every night I go. If I didnt hassl... Full Review,Positive,0.16875,0.4375
"Fabulous: Motivate Me! Meditate, Relax, Sleep",I really like far! My wish could calendar option I pre-set/put times alarms suit shift work month account daily shift time changes. At moment I changing times every night I go. If I didnt hassl... Full Review,Positive,0.16875,0.4375
"Fabulous: Motivate Me! Meditate, Relax, Sleep","The great But subscription way expensive,as I pay whole year advance!!! That's unusual weird.",Positive,0.22265625,0.7875
"Fabulous: Motivate Me! Meditate, Relax, Sleep","The great But subscription way expensive,as I pay whole year advance!!! That's unusual weird.",Positive,0.22265625,0.7875
"Calm - Meditate, Sleep, Relax",I used suffer insomnia college semester. I sleep app. I love Calm. Thanks decent service.,Positive,0.291666667,0.554166667
"Calm - Meditate, Sleep, Relax",I used suffer insomnia college semester. I sleep app. I love Calm. Thanks decent service.,Positive,0.291666667,0.554166667
"Calm - Meditate, Sleep, Relax","I used several months, free version. There lot get free (try breath bubble) go multiple programs, require paid subscription. So I treated yearly subscription I glad I did. I'd minimal meditation experience prior app. I deep breathing exercises really opened mind (ha!) helpful meditation be. The instructor pleasant voice sessions long. I recently offered buy full subscription daughter, much I like it.",Positive,0.191666667,0.44047619
Headspace: Meditation & Mindfulness,I love I really hard time life listening 3 minutes I feel like I open people almost made cry I dont cry easily,Positive,0.160416667,0.61875
Headspace: Meditation & Mindfulness,"I really like app, however sessions keep freezing restarting seem make difference. A shame really ruining meditations putting trying it. A really nice otherwise.",Positive,0.333333333,0.466666667
Headspace: Meditation & Mindfulness,"The content best I've ever seen performance not. I finished Day 4 today I noticed I'm day 4 again, I'm forced listen I chose 3 min session instead 10 mins played 10 mins. I'm using motivation encouragement I'm feeling way discouraged today.",Positive,0.35,0.25
"Fabulous: Motivate Me! Meditate, Relax, Sleep",Really loving app. It helped make many positive changes short time. Definitely want stick it. My problem crashes least twice day making hard record completed habits. Any ideas could causing glitch? Thanks great app.,Positive,0.192845118,0.520791246
"Fabulous: Motivate Me! Meditate, Relax, Sleep","Best I yet find. I thinking making help fight depression stuff. Inspiring I day 7 I like there's rush , water 7 days n rolled dice n got declutter help immensely. Great App!",Positive,0.833333333,0.683333333
"Calm - Meditate, Sleep, Relax","can't sign , lol... stupid",Positive,5.55E-17,0.85
